,genres comedy,genres outros,genres action,genres animation,genres drama,genres crime,genres romance,genres family,genres thriller,genres documentation
264,0,1,0,0,1,0,0,0,0,0
265,0,2,0,0,1,0,0,0,1,0
266,0,0,0,0,0,0,0,0,1,0
267,0,1,1,0,1,0,0,0,1,0
268,1,2,0,1,0,0,0,1,0,0
269,1,1,0,0,1,0,0,0,0,0
270,1,0,0,0,1,0,1,0,0,0
271,1,0,0,0,0,0,0,1,0,0
272,0,0,0,0,1,0,0,0,0,0
273,0,2,1,0,1,1,0,0,0,0
274,1,0,0,0,0,0,0,0,0,0
275,0,0,0,0,1,1,0,0,0,0
276,0,1,1,0,1,1,0,0,0,0
277,1,0,0,0,0,0,1,1,0,0
278,0,1,0,0,1,0,0,0,0,0
279,0,1,0,0,1,1,0,0,1,0
280,0,2,1,0,0,0,0,0,1,0
281,1,0,0,0,1,0,1,0,0,0
282,1,0,0,0,0,0,0,0,0,0
283,0,2,0,0,0,0,0,0,1,0
284,0,3,1,0,1,0,0,0,0,0
285,1,1,1,1,1,0,0,1,0,0
286,1,2,0,1,1,0,1,1,0,0
287,0,1,0,0,0,0,0,0,0,0
288,1,0,0,0,1,0,0,0,0,0
289,0,1,0,0,0,0,0,0,0,0
290,0,2,1,1,1,0,0,0,1,0
291,1,0,1,0,0,0,0,0,0,1
292,1,2,0,0,0,0,0,0,0,0
293,0,1,0,0,1,0,1,0,1,1
294,0,1,0,0,1,1,0,0,1,0
295,0,2,1,0,1,0,0,0,1,0
296,0,0,1,0,1,0,0,0,1,0
297,1,1,0,0,1,0,1,0,0,0
298,1,2,1,0,1,0,0,0,0,0
299,0,1,0,0,1,1,0,0,1,0
300,0,1,0,0,0,0,0,0,1,0
301,1,1,1,1,1,0,0,0,0,0
302,0,3,0,0,1,0,0,0,1,0
303,1,4,0,0,1,0,0,0,1,0
304,0,1,0,0,1,1,0,0,1,0
305,1,2,1,1,0,0,0,1,1,0
306,1,0,1,0,0,1,0,0,0,0
307,1,1,0,0,1,0,0,0,0,0
308,1,0,1,1,0,0,0,1,0,0
309,1,2,1,1,1,0,0,1,1,0
310,1,1,0,0,0,0,0,0,0,0
311,1,0,0,0,0,0,1,0,0,0
312,1,0,0,0,1,0,1,0,0,0
313,1,1,0,0,0,0,0,1,0,0
314,0,1,0,0,0,1,0,0,1,0
315,0,0,0,0,1,1,0,0,1,0
316,1,0,0,0,1,0,0,0,0,0
317,0,1,1,0,0,0,0,0,1,0
318,0,2,0,0,1,0,0,1,0,0
319,0,1,0,0,0,1,0,0,0,0
320,1,1,0,0,0,0,0,0,0,0
321,1,1,1,0,0,0,0,1,0,0
322,0,1,1,0,1,0,0,0,1,0
323,1,0,0,0,1,0,0,0,0,0
324,1,3,1,1,1,1,0,0,1,0
325,0,1,0,0,1,0,0,0,0,0
326,0,1,1,0,1,1,0,0,1,0
327,0,1,1,0,0,0,0,0,0,0
328,0,1,1,0,0,0,0,1,0,0
329,0,1,0,0,1,0,0,0,1,0
330,1,1,0,0,0,0,0,0,0,0
331,0,0,0,1,0,0,0,1,0,0
332,1,1,0,1,0,0,0,1,0,0
333,0,0,0,0,0,1,0,0,1,0
334,1,0,0,1,1,0,1,0,0,0
335,1,0,0,0,0,0,0,1,0,0
336,1,1,0,1,0,0,0,1,0,0
337,1,0,0,0,0,0,1,0,0,0
338,0,2,1,0,1,0,0,0,1,0
339,1,0,1,0,0,1,0,0,1,0
340,0,3,1,0,0,0,0,0,1,0
341,1,0,0,0,0,1,0,0,0,0
342,1,0,0,0,0,1,1,1,0,0
343,1,0,0,0,1,0,1,0,0,0
344,1,0,0,0,0,0,0,0,0,1
345,1,0,0,0,1,0,1,0,0,0
346,1,0,0,0,1,0,0,0,0,0
347,0,1,1,0,1,0,1,0,0,0
348,1,1,0,1,0,0,0,1,0,0
349,1,2,1,1,1,0,0,1,0,0
350,1,0,0,0,0,0,0,0,0,0
351,0,1,0,0,0,0,0,0,0,1
352,1,0,0,0,1,0,1,0,0,0
353,0,2,1,0,1,0,0,0,0,0
354,1,0,0,0,1,0,1,0,0,0
355,1,0,0,0,1,0,0,0,0,0
356,0,2,0,0,1,0,0,1,0,0
357,1,0,0,0,0,0,0,0,0,1
358,0,1,0,0,1,0,0,0,1,0
359,1,0,0,0,0,0,1,0,0,0
360,0,1,0,0,0,0,0,0,0,0
361,0,1,0,0,0,0,0,0,1,1
362,0,1,0,0,0,0,0,0,1,0
363,1,0,0,1,1,0,1,0,0,0
364,1,0,1,1,0,0,0,1,0,0
365,1,0,0,0,0,0,0,0,0,0
366,0,2,1,1,1,0,0,0,0,0
367,0,3,1,1,0,0,0,1,0,0
368,1,0,0,0,0,0,0,1,0,0
369,0,0,1,0,1,1,0,0,1,0
370,0,3,1,1,1,0,1,0,1,0
371,1,0,0,0,1,0,1,0,0,0
372,0,0,0,0,1,0,0,1,0,0
373,1,0,0,0,1,0,1,0,0,0
374,1,1,1,1,0,0,0,1,0,0
375,1,1,0,1,0,0,0,1,0,0
376,1,2,0,1,0,0,0,1,0,0
377,0,1,1,0,0,1,0,0,1,0
378,1,2,1,1,0,0,1,1,1,0
379,1,4,0,1,0,0,0,1,0,0
380,1,0,0,0,0,0,0,1,0,0
381,1,1,0,0,1,0,1,0,0,0
382,1,0,0,0,0,0,0,0,0,1
383,1,0,1,1,0,0,1,1,0,0
384,0,1,1,1,0,0,0,1,0,0
385,0,0,1,0,1,0,0,0,0,0
386,1,1,0,1,1,0,0,0,0,0
387,1,0,0,0,0,0,0,0,0,0
388,1,0,1,1,1,1,1,0,1,0
389,0,1,1,1,0,0,0,1,0,0
390,0,0,0,0,1,0,0,0,0,0
391,0,1,0,1,0,0,0,1,0,0
392,0,1,1,1,0,0,0,0,0,0
393,0,1,1,0,1,1,0,0,1,0
394,0,0,1,0,1,1,0,0,1,0
395,1,2,1,1,0,0,1,1,0,0
396,1,0,0,0,0,1,0,0,0,0
397,1,1,1,1,1,0,0,1,0,0
398,0,0,1,0,1,1,1,0,0,1
399,0,2,0,0,1,0,0,0,0,0
400,1,0,0,0,0,0,0,0,0,1
401,0,0,0,1,0,0,0,0,0,0
402,0,0,0,0,1,0,0,0,0,0
403,1,1,1,0,1,0,1,0,1,0
404,1,0,0,0,0,1,0,0,0,0
405,1,0,0,0,0,0,0,0,0,0
406,0,0,0,0,1,0,1,0,0,0
407,1,0,0,0,1,0,1,0,0,0
408,1,0,0,0,1,0,1,0,0,0
409,0,3,0,0,0,0,0,0,1,1
410,0,1,1,0,1,1,0,0,0,0
411,1,0,1,1,0,0,0,1,0,0
412,0,2,1,0,1,0,1,0,0,0
413,1,2,1,1,0,0,0,1,0,0
414,0,0,0,0,1,0,0,0,0,0
415,1,0,0,0,0,0,0,0,0,1
416,1,0,1,0,1,1,0,0,0,0
417,1,0,0,0,1,0,0,0,0,0
418,0,1,1,1,0,0,0,0,0,0
419,0,1,0,0,1,0,0,0,0,0
420,1,1,1,0,1,1,0,0,1,0
421,1,3,0,1,0,0,0,1,0,0
422,1,2,0,0,0,0,0,1,0,0
423,1,1,0,0,1,1,0,0,0,0
424,0,0,1,0,1,0,0,0,0,0
425,0,0,0,0,1,0,0,0,0,0
426,1,2,0,1,0,0,0,1,0,0
427,1,1,1,0,1,0,1,0,1,0
428,0,1,0,0,1,0,1,0,0,1
