,genres comedy,genres outros,genres action,genres fantasy,genres animation,genres drama,genres romance,genres sport,genres scifi,genres thriller
298,1,0,1,0,1,0,0,0,0,0
299,1,0,0,0,1,1,0,0,0,0
300,0,0,1,0,0,0,0,0,1,0
301,1,0,0,0,1,0,0,0,0,0
302,1,0,0,0,1,0,0,0,0,0
303,1,0,0,0,1,1,0,0,0,0
304,0,0,0,0,1,0,0,0,1,0
305,0,0,0,0,1,0,0,0,0,0
306,1,0,0,0,1,0,0,0,0,0
307,0,0,1,0,0,0,0,0,0,0
308,1,0,0,0,1,0,0,0,0,0
309,1,0,0,0,1,0,0,0,0,0
310,1,0,0,0,1,0,0,0,0,0
311,1,0,0,0,1,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0
313,1,0,0,0,0,0,0,0,0,0
314,1,0,1,0,1,0,0,0,0,0
315,0,0,0,0,1,0,0,0,0,0
316,0,1,1,1,1,1,0,0,1,0
317,1,0,0,0,1,1,0,1,0,0
318,0,1,1,1,1,1,0,0,0,1
319,0,1,0,0,1,1,1,0,0,0
320,0,1,1,0,1,1,1,0,1,1
321,1,0,0,0,1,1,1,0,0,0
322,1,0,1,1,1,1,0,0,1,0
323,1,0,1,1,1,0,0,0,1,0
324,1,1,1,1,1,1,1,0,1,0
325,1,0,1,1,1,1,0,0,1,1
326,1,0,1,1,1,0,1,0,1,1
327,1,0,1,1,1,0,1,0,1,0
328,1,1,1,1,1,0,0,0,1,0
329,1,0,1,1,1,1,1,0,1,0
330,0,1,1,0,1,1,0,0,0,1
331,1,0,1,1,1,0,1,0,0,0
332,0,0,1,1,1,1,1,0,1,0
333,1,0,0,0,1,1,1,0,0,0
334,0,0,1,1,1,1,1,0,1,0
335,1,0,0,0,1,0,1,0,0,0
336,0,1,0,0,1,0,0,0,0,0
337,1,0,0,0,1,1,0,1,0,0
338,0,0,0,1,1,0,1,0,1,0
339,0,0,1,0,1,0,0,0,1,0
340,1,0,0,0,1,1,0,1,0,0
341,1,1,1,1,1,0,1,0,1,0
342,0,0,0,0,1,1,1,0,1,0
343,1,0,0,0,1,1,0,0,0,0
344,0,0,0,0,1,1,1,0,0,1
345,1,0,0,1,1,1,0,0,1,0
346,0,1,1,0,1,0,0,0,1,0
347,0,0,0,0,1,0,0,1,0,0
348,0,0,1,1,1,0,1,0,1,0
349,1,0,0,1,1,0,0,0,1,0
350,1,0,1,0,1,0,0,1,1,0
351,0,0,0,1,1,1,1,0,0,0
352,1,0,1,1,1,0,0,0,1,0
353,1,0,0,0,1,0,1,0,0,0
354,1,0,1,1,1,1,0,0,0,0
355,1,1,1,1,1,0,0,0,0,0
356,0,1,1,0,1,1,1,0,1,1
357,0,0,0,1,1,1,1,0,1,0
358,0,1,1,0,1,0,0,0,0,0
359,1,0,0,0,1,0,1,0,0,0
360,0,0,1,0,1,0,0,0,1,0
361,1,0,0,0,1,0,0,0,0,0
362,1,0,0,0,1,0,1,0,0,0
363,1,0,1,1,1,0,1,0,0,0
364,1,0,1,1,1,0,1,0,1,0
365,1,0,0,0,1,0,0,0,0,0
366,1,0,1,1,1,0,0,0,1,0
367,1,1,0,0,1,0,0,0,0,0
368,0,0,1,1,1,1,1,0,1,1
369,1,0,1,1,1,0,1,0,0,0
370,1,0,0,0,1,0,1,0,0,0
371,1,0,0,1,1,1,0,0,0,0
372,0,0,1,0,1,1,0,0,1,0
373,0,1,0,0,1,0,0,0,0,0
374,0,1,0,0,1,1,1,0,0,0
375,0,0,1,1,1,0,0,0,0,0
376,1,0,0,1,1,1,1,0,0,0
377,1,0,0,0,1,0,1,0,0,0
378,1,0,0,1,1,0,1,0,0,0
379,1,0,0,0,1,0,0,0,0,0
380,1,0,0,0,1,0,0,0,0,0
381,1,0,0,0,1,0,0,0,0,0
382,0,0,1,0,1,0,0,0,1,0
383,1,0,0,0,1,0,1,0,0,0
384,1,0,1,0,1,0,0,1,0,0
385,1,0,1,0,1,0,0,0,0,0
386,0,0,0,0,1,0,1,1,0,0
387,1,0,1,1,1,0,1,0,0,0
388,1,0,0,0,1,0,0,0,0,0
389,1,0,0,1,1,0,0,0,1,0
390,1,1,0,0,1,1,0,0,1,0
391,1,1,0,0,1,0,0,0,0,0
392,1,0,0,0,1,0,0,0,0,0
393,0,1,1,0,1,0,0,0,0,0
394,0,0,1,0,1,0,0,0,1,0
395,0,0,1,1,1,0,0,0,1,0
396,1,0,0,1,1,1,1,0,0,0
397,0,0,1,0,1,0,0,0,1,0
398,1,0,0,0,1,0,1,0,0,0
399,0,0,1,0,1,0,0,0,0,0
400,1,0,1,1,1,0,1,0,1,0
401,1,1,0,0,1,0,0,0,0,0
402,1,0,0,0,1,0,0,0,0,0
403,0,0,1,1,1,1,1,0,1,0
404,1,0,0,0,1,0,0,0,0,0
405,1,0,0,1,1,0,0,0,1,0
406,1,0,0,0,1,0,0,0,1,0
407,1,0,0,0,1,0,0,0,0,0
408,1,0,0,0,1,0,0,0,0,0
409,1,0,1,1,1,0,0,0,0,0
410,1,1,0,0,1,1,0,0,0,0
411,0,0,0,0,1,0,0,0,0,0
412,0,0,0,0,1,1,1,0,0,0
413,1,0,0,0,1,1,1,0,0,0
414,1,0,0,0,1,0,1,0,0,0
415,0,0,1,0,0,0,0,0,0,0
416,1,0,1,1,1,0,0,0,0,0
417,0,0,1,0,1,0,0,0,1,0
418,0,0,0,0,1,0,0,0,0,0
419,1,0,0,0,1,0,0,0,0,0
420,0,0,0,0,1,0,0,0,0,0
421,0,0,1,0,1,0,0,0,0,0
422,1,0,1,0,1,0,0,0,1,0
423,1,0,0,0,1,0,0,0,0,0
424,1,0,0,0,1,0,0,0,0,0
425,0,0,0,0,1,0,0,0,0,0
426,1,0,0,1,1,0,0,0,1,0
427,1,0,0,0,1,0,1,0,0,0
428,0,0,1,0,0,0,0,0,1,0
429,1,0,1,1,1,0,0,0,1,0
430,1,0,1,1,1,0,0,0,1,0
431,1,0,0,1,1,1,0,0,0,1
432,1,1,1,1,1,1,0,0,1,1
433,1,1,1,1,1,0,0,0,0,0
434,0,1,1,1,1,1,0,0,1,0
435,1,0,1,1,1,1,0,0,1,0
436,0,1,1,1,1,1,0,0,1,0
437,1,0,1,1,1,0,0,0,1,0
438,1,1,1,1,1,1,1,0,1,1
439,1,0,1,1,1,0,1,0,1,0
440,0,0,1,1,1,0,0,0,1,0
441,0,0,0,1,1,1,0,0,1,1
442,1,0,0,0,1,1,1,1,0,0
443,1,1,1,1,1,1,0,0,1,0
444,0,1,1,0,1,1,0,0,1,0
445,1,0,1,1,1,0,0,0,1,0
446,0,0,1,1,1,0,0,0,1,1
447,0,0,0,1,1,0,0,0,1,0
448,1,0,0,0,1,1,1,0,0,0
449,0,2,1,0,1,1,0,0,0,1
450,0,0,1,0,1,0,0,0,1,0
451,0,0,1,1,1,0,0,0,1,0
452,1,0,0,0,1,0,1,0,0,0
453,1,0,0,0,1,1,1,0,0,0
454,1,0,1,1,1,0,0,0,0,0
455,1,1,0,0,1,1,0,0,0,1
456,0,0,0,0,1,1,1,0,1,0
457,0,0,0,1,1,0,0,0,1,0
458,0,0,0,1,1,1,1,0,1,0
459,1,0,0,0,1,1,1,0,0,0
460,1,1,1,0,1,0,0,0,0,0
461,1,1,0,0,1,1,0,0,0,0
462,0,1,1,0,1,1,0,0,1,1
463,0,0,1,0,1,0,0,0,0,0
464,1,0,0,0,1,1,1,0,1,0
465,1,0,0,1,1,0,0,0,1,0
466,1,0,0,0,1,0,1,0,0,0
467,1,0,0,0,1,1,1,0,0,0
468,1,0,1,0,1,0,0,1,0,0
469,1,0,1,1,1,1,0,0,0,0
470,1,0,0,0,1,1,0,0,1,0
471,1,0,0,0,1,1,1,0,0,0
472,0,0,1,0,1,1,0,0,0,0
473,1,0,0,0,1,1,0,0,0,0
474,0,0,1,0,1,1,0,0,0,0
475,0,0,1,0,1,0,0,0,0,0
476,1,0,1,1,1,0,1,0,1,0
477,0,0,0,0,1,1,1,0,1,1
478,1,0,0,0,1,1,0,0,0,0
479,0,1,1,0,1,0,0,0,1,0
480,0,1,0,0,1,1,0,0,1,0
481,1,0,0,1,1,1,1,0,0,0
482,0,0,1,0,1,1,0,1,0,0
483,0,0,0,0,1,0,0,0,1,1
484,0,0,1,1,1,0,1,0,0,0
485,0,0,0,1,1,0,0,0,0,0
486,0,0,1,1,0,0,0,0,0,0
487,1,1,0,0,1,0,1,0,0,0
488,1,0,1,1,1,1,0,0,0,0
489,1,0,1,0,1,0,0,0,1,0
490,0,0,1,1,1,0,0,0,1,1
491,0,0,1,0,1,0,1,0,1,0
492,0,0,1,1,1,1,0,0,0,0
493,1,0,1,0,1,0,0,0,0,0
494,1,0,0,0,1,0,0,0,0,0
495,0,0,0,0,1,0,0,0,1,0
496,0,0,1,1,1,1,0,0,1,0
497,0,0,0,0,1,0,0,0,0,0
498,1,0,1,0,0,0,0,0,0,0
499,1,0,1,1,1,0,0,0,1,0
500,1,0,0,1,1,1,0,0,1,1
501,1,0,0,0,1,1,0,0,0,0
502,0,0,1,1,1,1,0,0,1,0
503,1,0,0,0,1,1,1,0,0,0
504,1,1,0,0,1,1,0,1,0,0
505,0,1,0,0,1,1,0,0,0,1
506,0,0,1,1,1,0,0,0,1,0
507,0,2,1,0,1,0,0,0,0,0
508,1,0,0,0,1,1,0,0,0,0
509,1,1,0,0,1,0,0,0,0,0
510,0,0,1,1,1,0,1,0,0,0
511,0,0,0,0,1,1,0,0,0,1
512,1,0,0,1,1,0,1,0,0,0
513,1,0,0,0,1,0,0,0,0,0
514,1,1,0,0,1,1,0,0,0,0
515,1,0,0,0,0,0,0,0,0,0
516,0,0,1,0,0,0,0,0,1,0
517,0,0,1,1,1,0,1,0,0,0
518,1,0,0,0,1,0,0,1,0,0
519,1,0,1,0,1,1,0,0,0,0
520,1,0,0,0,1,1,0,0,0,0
521,1,0,0,0,1,0,0,0,0,0
522,0,0,0,0,1,1,0,0,0,0
523,0,0,0,0,1,0,0,0,0,0
524,0,0,1,1,1,0,0,0,0,0
525,0,0,1,1,1,0,0,0,1,0
526,1,1,0,0,1,0,0,0,1,0
527,1,1,1,0,1,0,0,0,1,0
528,1,0,0,0,1,0,0,0,0,0
529,0,0,0,0,0,1,0,0,0,0
530,0,0,1,1,1,1,1,0,0,0
531,0,1,0,0,1,0,0,0,0,0
532,0,0,1,1,1,0,0,0,0,0
533,1,1,0,0,1,1,0,0,0,0
534,0,0,0,0,1,0,0,0,1,0
535,0,0,0,0,1,1,0,0,0,0
536,0,1,0,0,1,1,0,0,0,0
537,0,1,0,0,1,0,0,0,1,0
538,1,0,0,0,0,0,0,0,0,0
539,1,0,0,0,1,0,0,0,0,0
540,0,0,0,1,1,1,0,0,0,1
541,0,0,0,0,1,0,0,0,0,0
542,0,0,1,0,1,0,0,0,0,0
543,0,0,0,0,0,0,0,0,1,0
544,0,0,0,0,1,0,0,0,0,0
545,1,0,0,0,0,0,0,0,0,0
546,0,0,0,0,0,0,0,0,1,0
547,1,0,0,0,1,0,0,0,0,0
548,1,0,0,0,1,1,0,0,0,0
549,1,0,1,1,1,0,0,0,1,0
550,1,0,0,0,1,0,0,1,0,0
551,1,0,0,0,1,0,0,0,0,0
552,0,0,1,0,1,0,1,0,1,0
553,1,0,0,0,1,0,0,0,0,0
554,1,0,1,0,1,0,0,0,1,0
555,0,0,0,1,1,0,1,0,1,0
556,0,0,1,0,1,0,0,0,0,0
557,1,1,0,0,1,0,0,0,0,0
558,1,0,0,0,0,0,0,0,0,0
559,0,1,0,0,1,0,0,0,0,0
560,1,0,1,0,0,0,0,0,1,0
561,1,0,0,0,1,0,0,0,0,0
562,1,0,0,0,1,0,0,0,0,0
563,1,0,1,0,0,0,0,0,0,0
564,0,0,0,0,1,1,0,1,1,0
565,1,0,0,0,1,0,0,0,0,0
566,1,0,0,0,1,0,0,1,0,0
567,0,1,0,0,1,0,0,0,0,0
568,0,1,1,0,1,0,0,0,1,1
569,1,0,1,0,1,0,0,0,0,0
570,1,0,0,0,1,0,0,0,0,0
571,0,0,1,0,1,0,0,0,1,0
572,1,0,0,0,1,0,0,0,0,0
573,1,0,0,1,1,0,0,0,0,0
574,1,0,0,0,1,0,0,0,0,0
575,0,0,0,0,1,0,0,0,0,0
576,0,0,0,0,1,0,0,0,0,0
577,1,0,0,0,1,0,0,0,1,0
578,1,0,0,0,1,0,0,0,0,0
579,0,0,0,0,1,1,0,0,0,0
580,1,0,0,0,1,0,0,0,0,0
581,0,0,0,0,0,0,0,0,0,0
582,1,0,0,0,1,0,0,0,0,0
583,0,0,0,0,1,0,0,0,0,0
584,0,0,0,0,1,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0
586,1,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,0,0,0
588,1,0,0,0,1,1,1,0,0,0
589,1,0,0,0,1,0,0,0,0,0
590,1,0,1,1,1,0,0,0,1,0
591,1,1,0,0,1,0,0,0,0,0
592,1,0,0,0,1,0,0,0,1,0
593,1,0,0,0,1,1,0,0,0,0
594,0,0,0,0,0,0,0,0,0,0
595,1,0,0,0,1,0,1,0,0,0
596,1,0,0,0,0,0,0,0,0,0
597,0,0,1,0,1,1,0,0,1,0
598,0,0,0,0,0,0,0,0,1,0
599,1,0,1,1,1,1,0,0,1,1
600,0,0,1,1,1,0,0,0,1,0
601,1,0,1,1,1,0,0,0,1,0
602,1,0,1,1,1,1,0,0,0,0
603,0,1,0,1,1,1,1,0,1,0
604,0,0,1,1,1,1,1,0,1,0
605,1,0,0,0,1,0,0,0,0,0
606,0,0,0,0,1,1,0,0,0,1
607,1,0,1,1,1,0,0,0,0,0
608,1,0,0,1,1,1,1,0,0,1
609,1,0,0,0,1,1,0,0,0,0
610,1,0,0,1,1,0,0,0,0,0
611,1,0,0,0,1,1,1,0,0,0
612,1,3,1,1,1,0,0,0,0,0
613,1,0,0,0,1,1,1,0,1,1
614,0,1,0,0,1,1,0,0,0,0
615,0,0,1,0,1,1,0,1,1,0
616,1,2,1,0,1,0,0,0,0,0
617,1,0,0,0,1,0,1,0,0,0
618,0,1,1,1,1,0,0,0,1,0
619,0,0,1,1,1,0,0,0,0,0
620,0,1,1,0,1,0,0,0,1,1
621,1,0,0,0,1,1,1,0,0,0
622,1,0,0,1,1,0,0,0,1,0
623,1,0,0,0,1,1,1,0,0,0
624,1,0,1,1,1,0,1,0,1,0
625,1,0,0,0,1,1,1,0,0,0
626,1,0,1,0,1,1,1,0,0,0
627,1,0,0,1,1,0,1,0,1,0
